customer_id,DistinctItems,DistinctLocations,NetSpend,DistinctCity,DistinctState,customer_contact_acquisition_date,household_has_dillards_credit_card,unsubscribed_yn,total_email_sent_count,total_email_open_count,total_email_click_count,product_email_sent_count,product_email_open_count,product_email_click_count,sale_email_sent_count,sale_email_open_count,sale_email_click_count,last_email_open_date,last_email_click_date
223968734,4,1,71.75,1,1,11/17/2017,N,Y,32,5,0,30,5,0,2,0,0,6/29/2018,NULL
224108781,1,1,69.65,1,1,11/30/2017,N,Y,34,4,3,30,4,3,2,0,0,6/20/2018,6/14/2018
223158165,4,1,67.61,1,1,8/26/2017,N,Y,34,7,0,30,6,0,2,0,0,6/13/2018,NULL
225651095,1,1,36,1,1,4/13/2018,N,Y,32,0,0,30,0,0,2,0,0,NULL,NULL
225519968,3,1,929.75,1,1,3/31/2018,N,Y,37,23,2,31,18,2,2,1,0,6/28/2018,6/18/2018
122800081,4,1,317.45,1,1,4/1/1999,N,Y,38,13,1,31,11,1,2,1,0,6/30/2018,5/25/2018
224567075,3,1,252,1,1,12/27/2017,N,Y,33,3,1,31,3,1,2,0,0,6/29/2018,6/29/2018
204044491,6,3,234.95,1,1,8/25/2013,N,Y,39,3,1,31,1,0,2,1,1,6/29/2018,6/29/2018
186619214,5,1,220.53,1,1,4/16/2009,N,Y,35,1,0,31,1,0,2,0,0,5/30/2018,NULL
223274236,2,1,199.98,1,1,9/9/2017,N,N,35,1,0,31,1,0,2,0,0,5/26/2018,NULL
225910164,3,1,158.5,1,1,5/10/2018,N,Y,36,9,3,31,7,3,2,1,0,6/30/2018,6/16/2018
205821386,5,1,117.55,1,1,12/23/2013,N,Y,33,3,0,31,3,0,2,0,0,6/29/2018,NULL
213991887,3,2,103.9,2,2,7/16/2015,N,Y,36,2,0,31,2,0,2,0,0,6/11/2018,NULL
207913520,5,1,46.5,1,1,5/8/2014,N,Y,35,19,0,31,16,0,2,1,0,6/30/2018,NULL
145980229,1,1,41.3,1,1,7/21/2003,N,Y,40,4,0,31,3,0,2,1,0,6/30/2018,NULL
122624752,49,6,3401.67,6,3,7/26/1999,N,Y,39,30,1,32,24,1,2,1,0,6/28/2018,5/27/2018
216850280,15,1,1645.61,1,1,1/31/2016,N,Y,36,34,0,32,30,0,2,2,0,6/30/2018,NULL
223795003,12,3,1184.7,3,3,10/30/2017,N,Y,39,7,0,32,6,0,2,0,0,6/24/2018,NULL
225398641,33,2,1134.95,2,1,3/18/2018,Y,Y,38,4,0,32,2,0,2,0,0,6/10/2018,NULL
223568884,19,2,1122.65,2,1,10/6/2017,N,Y,36,1,0,32,1,0,2,0,0,6/6/2018,NULL
225923292,6,1,1110,1,1,5/11/2018,N,Y,36,1,0,32,1,0,2,0,0,5/27/2018,NULL
212127882,20,1,748.42,1,1,2/12/2015,N,Y,38,2,0,32,1,0,2,0,0,6/20/2018,NULL
223719762,14,2,683.27,2,2,10/22/2017,N,Y,38,8,0,32,7,0,2,0,0,6/13/2018,NULL
181964071,9,1,660.85,1,1,4/2/2008,N,Y,41,8,1,32,7,1,2,0,0,6/26/2018,5/26/2018
183471892,13,1,472.15,1,1,8/7/2008,N,Y,40,9,0,32,7,0,2,1,0,7/1/2018,NULL
225572784,4,2,440.54,2,2,4/6/2018,N,Y,38,28,0,32,25,0,2,1,0,6/29/2018,NULL
223195159,18,1,348.16,1,1,9/1/2017,N,Y,36,2,0,32,2,0,2,0,0,6/15/2018,NULL
225023066,5,1,310.45,1,1,2/9/2018,N,Y,35,1,0,32,1,0,2,0,0,5/20/2018,NULL
224562570,5,1,299.85,1,1,12/27/2017,N,N,36,0,0,32,0,0,2,0,0,NULL,NULL
147206700,2,1,249.99,1,1,3/29/2002,N,Y,37,1,0,32,1,0,2,0,0,5/30/2018,NULL
225685125,2,1,247.99,1,1,4/18/2018,N,Y,36,9,0,32,8,0,2,1,0,6/28/2018,NULL
225909367,6,2,239.96,2,2,5/10/2018,N,Y,40,8,0,32,7,0,2,0,0,6/29/2018,NULL
224262176,4,1,216.2,1,1,12/9/2017,N,Y,34,1,0,32,1,0,2,0,0,6/5/2018,NULL
223854598,2,1,191.8,1,1,11/5/2017,N,Y,41,7,3,32,5,1,2,1,1,6/30/2018,6/30/2018
209144349,2,2,190.99,2,2,8/4/2014,N,Y,41,1,0,32,0,0,2,1,0,6/28/2018,NULL
136778419,8,1,166.26,1,1,4/28/2001,N,Y,40,2,0,32,1,0,2,1,0,6/30/2018,NULL
